internal_code,supplier_code,name,category_code,unit_type,stock,min_stock,purchase_price,sale_price,status,source
MM-GEN-000009,HT30588,CEPILLO DE ALAMBRE NARANJA HT30588 UDUKE,GEN,UND,6.00,3,0.00,41.50,ACTIVE,PDF Cotizacion
MM-GEN-000010,ROS02F,CEPO DE HULE FYY,GEN,UND,6.00,3,0.00,19.50,ACTIVE,PDF Cotizacion
MM-PLO-000002,HT20176,CERRADURA DE PELOTA C/LLAVE CAFE OSCURO,PLO,UND,2.00,3,0.00,189.25,ACTIVE,PDF Cotizacion
MM-GEN-000011,CERRADURA,DE PELOTA DORADA 587PB FYY,GEN,UND,3.00,3,0.00,224.80,ACTIVE,PDF Cotizacion
MM-GEN-000012,CH102AB,CERROJO 102 AB FYY,GEN,UND,3.00,3,0.00,265.00,ACTIVE,PDF Cotizacion
MM-GEN-000013,CINCEL,DE PUNTA 4MM/16MM/250MM HCC0841016,GEN,UND,3.00,3,0.00,102.35,ACTIVE,PDF Cotizacion
MM-HER-000014,PROV-0061,016 HCC8304 CINCEL DE PUNTA C/PROTECTOR DE PUÑO,HER,UND,3.00,3,0.00,180.48,ACTIVE,PDF Cotizacion
MM-HER-000015,FL316A,CINTA FLEXO JH51 3MX16 UYUSTOOL,HER,UND,4.00,3,0.00,47.56,ACTIVE,PDF Cotizacion
MM-HER-000016,FL519A,CINTA FLEXO JH51 5MX19 UYUSTOOL,HER,UND,4.00,3,0.00,71.70,ACTIVE,PDF Cotizacion
MM-HER-000017,FL075A,CINTA FLEXO JH51 7.5MX25 UYUSTOOL,HER,UND,3.00,3,0.00,124.38,ACTIVE,PDF Cotizacion
MM-GEN-000014,CINTA,MALLA 2X300 PIE 50MM MX90MTS 8X8 50G,GEN,UND,6.00,3,0.00,85.00,ACTIVE,PDF Cotizacion
MM-ELE-000009,10323,CONECTOR CONDUIT DE 1/2 ARGOS( BOLSA 100UND),ELE,UND,100.00,3,0.00,295.00,ACTIVE,PDF Cotizacion
MM-ELE-000010,10322,CURVA CONDUIT 1/2 (PAQ.100UND) NACIONALES,ELE,UND,1.00,3,0.00,310.00,ACTIVE,PDF Cotizacion
MM-ELE-000011,CON02H,CONECTOR HEMBRA CROMADO S/POLO FYY,ELE,UND,6.00,3,0.00,15.00,ACTIVE,PDF Cotizacion
MM-ELE-000012,CON2HP,CONECTOR HEMBRA NEGRO S/POLO FYY,ELE,UND,6.00,3,0.00,15.00,ACTIVE,PDF Cotizacion
MM-GEN-000015,UNM14U,CONECTOR MACHO DE 1/4 NPT UYUSTOOLS,GEN,UND,3.00,3,0.00,28.78,ACTIVE,PDF Cotizacion
MM-PLO-000003,CONECTOR,"P/MANGUERA 1/2"" -3/4"" 3 PCS INGCO ISSA",PLO,UND,3.00,3,0.00,93.83,ACTIVE,PDF Cotizacion
MM-GEN-000016,CONECTOR,RAPIDO 1/4 HEMBRA UYUSTOOLS,GEN,UND,3.00,3,0.00,32.50,ACTIVE,PDF Cotizacion
MM-GEN-000017,CVU820,CORTAVIDRIO C/ACEITE TIPO RUEDA 8820 CVU820,GEN,UND,3.00,3,0.00,98.50,ACTIVE,PDF Cotizacion
MM-HER-000018,CUM106,"CUCHARA PARA ALBAÑIL 6"" UYUSTOOLS",HER,UND,3.00,3,0.00,67.30,ACTIVE,PDF Cotizacion
MM-HER-000019,CUM107,"CUCHARA PARA ALBAÑIL 7"" UYUSTOOLS",HER,UND,3.00,3,0.00,60.10,ACTIVE,PDF Cotizacion
MM-HER-000020,CUM108,"CUCHARA PARA ALBAÑIL 8"" UYUSTOOLS",HER,UND,3.00,3,0.00,71.25,ACTIVE,PDF Cotizacion
MM-HER-000021,CUA09P,"CUCHARA PARA ALBAÑIL 9"" UYUSTOOLS",HER,UND,3.00,3,0.00,80.20,ACTIVE,PDF Cotizacion
MM-HER-000022,CE1305,CUCHILLA MULTIUSO CE1305 18MM UYUSTOOLS.,HER,UND,6.00,3,0.00,39.00,ACTIVE,PDF Cotizacion
MM-HER-000023,HUK6128,CUCHILLA MULTIUSO METALICA 19X61MM HUK6128,HER,UND,3.00,3,0.00,149.10,ACTIVE,PDF Cotizacion
MM-GEN-000018,DESARMADOR,2 EN 1 (6.35X75MM) AKISD0202 INGCO,GEN,UND,3.00,3,0.00,52.55,ACTIVE,PDF Cotizacion
MM-GEN-000019,DESARMADOR,2EN1 (5X135MM) AKISD0203 INGCO,GEN,UND,3.00,3,0.00,56.10,ACTIVE,PDF Cotizacion
MM-HER-000024,DDU115H,DISCO CONCRETO DIAMOND 41/2 LISO UYUSTOOLS,HER,UND,3.00,3,0.00,80.20,ACTIVE,PDF Cotizacion
MM-HER-000025,HT30027,DISCO CONCRETO DIAMOND 4-1/2 SECO SEGMENTADO,HER,UND,3.00,3,0.00,65.00,ACTIVE,PDF Cotizacion
MM-HER-000026,HT30581,"UDUKE DISCO CONCRETO DIAMOND 7"" LISO CONTINUO",HER,UND,3.00,3,0.00,160.00,ACTIVE,PDF Cotizacion
MM-HER-000027,DDU230,"UDUKE DISCO CONCRETO DIAMOND 9"" SECO SEGMENTADO",HER,UND,3.00,3,0.00,395.00,ACTIVE,PDF Cotizacion
MM-HER-000028,DCM304,"UYUSTOOLS DISCO DE DESBASTE METAL 4"" ( 4 1/2X1/4X7/8)",HER,UND,1.00,3,0.00,31.65,ACTIVE,PDF Cotizacion
MM-HER-000029,DDP116,DISCO DE PULIR CONCRETO 4 1/2 TURBO UYUSTOOLS,HER,UND,2.00,3,0.00,336.00,ACTIVE,PDF Cotizacion
MM-GEN-000020,DISCO,"LIJA FLAP P/MADERA 4.5"" Nº 100 UYUSTOOLS",GEN,UND,5.00,3,0.00,33.90,ACTIVE,PDF Cotizacion
MM-GEN-000021,DISCO,"LIJA FLAP P/MADERA 4.5"" Nº 120 UYUSTOOLS",GEN,UND,5.00,3,0.00,33.90,ACTIVE,PDF Cotizacion
MM-HER-000030,DLF460M,"DISCO LIJA FLAP P/MADERA 4.5"" Nº 60 UYUSTOOLS",HER,UND,5.00,3,0.00,33.90,ACTIVE,PDF Cotizacion
MM-HER-000031,HT30595,"DISCO MADERA 4-1/2"" 24 DIENTES UDUKE",HER,UND,3.00,3,0.00,62.00,ACTIVE,PDF Cotizacion
MM-PLO-000004,HT1206,DUCHA REGADERA DE METAL CROMADA HL UDUKE,PLO,UND,3.00,3,0.00,118.00,ACTIVE,PDF Cotizacion
MM-PLO-000005,HT1205,DUCHA REGADERA HL-DP-12 HT1205 UDUKE,PLO,UND,3.00,3,0.00,110.50,ACTIVE,PDF Cotizacion
MM-GEN-000022,EBR104,"ECOBILLA REDONDA TRENZADA DE 4"" UYUSTOOLS",GEN,UND,3.00,3,0.00,95.00,ACTIVE,PDF Cotizacion
MM-GEN-000023,ELA808,ELASTICO 8MMX08MM UYUSTOOLS,GEN,UND,3.00,3,0.00,42.20,ACTIVE,PDF Cotizacion
MM-GEN-000024,ESCALERA,DE ALUMINIO 5 PIES WLD4H05 WADFOW,GEN,UND,1.00,3,0.00,2334.72,ACTIVE,PDF Cotizacion
MM-GEN-000025,EBC03B,"ESCOBILLA DE COPA 3"" BLISTER UYUSTOOLS",GEN,UND,3.00,3,0.00,95.00,ACTIVE,PDF Cotizacion
MM-GEN-000026,EBC13B,"ESCOBILLA DE COPA 3"" BLISTER UYUSTOOLS",GEN,UND,3.00,3,0.00,108.35,ACTIVE,PDF Cotizacion
MM-GEN-000027,EBC14B,ESCOBILLA DE COPA 4 BLISTER UYUSTOOL,GEN,UND,3.00,3,0.00,149.36,ACTIVE,PDF Cotizacion
MM-GEN-000028,EBR006,"ESCOBILLA REDONDA 6"" UYUSTOOLS",GEN,UND,3.00,3,0.00,80.50,ACTIVE,PDF Cotizacion
MM-GEN-000029,EBR004,"ESCOBILLA REDONDA DORADA 4"" UYUSTOOLS",GEN,UND,3.00,3,0.00,66.40,ACTIVE,PDF Cotizacion
MM-GEN-000030,EBT203,ESCOBILLA REDONDA P/TALADRO 3 PLANA 9772,GEN,UND,3.00,3,0.00,31.00,ACTIVE,PDF Cotizacion
MM-GEN-000031,EBR301,ESCOBILLA REDONDA SET 3 PCS,GEN,UND,3.00,3,0.00,66.50,ACTIVE,PDF Cotizacion
MM-GEN-000032,EBR501,ESCOBILLA REDONDA SET 5PCS UYUSTOOLS,GEN,UND,3.00,3,0.00,84.65,ACTIVE,PDF Cotizacion
MM-GEN-000033,EBL001,"ESCOBILLA TIPO LAPIZ 1"" UYUSTOOLS",GEN,UND,3.00,3,0.00,30.25,ACTIVE,PDF Cotizacion
MM-HER-000032,ECC812,"ESCUADRA DE 12"" (8X12) UYUSTOOLS",HER,UND,3.00,3,0.00,70.55,ACTIVE,PDF Cotizacion
