internal_code,supplier_code,name,category_code,unit_type,stock,min_stock,purchase_price,sale_price,status,source
MM-GEN-000044,LLAVE,"DE ANGULAR 1/2"" X3/8 X3/8""",GEN,UND,10.00,3,0.00,108.00,ACTIVE,PDF Cotizacion
MM-PLO-000007,YAS801,LLAVE ALLEN 8PCS SET 2.5-10MM,PLO,UND,3.00,3,0.00,117.82,ACTIVE,PDF Cotizacion
MM-PLO-000008,HT80327,LLAVE COPA EN T 10MM HT80327 UDUKE,PLO,UND,3.00,3,0.00,38.65,ACTIVE,PDF Cotizacion
MM-PLO-000009,HTY0005,LLAVE COMBINADA 10MM CR/V UDUKE,PLO,UND,3.00,3,0.00,26.30,ACTIVE,PDF Cotizacion
MM-PLO-000010,HTY0007,LLAVE COMBINADA 12MM CR/V UDUKE,PLO,UND,3.00,3,0.00,30.45,ACTIVE,PDF Cotizacion
MM-PLO-000011,HTY0008,LLAVE COMBINADA 13MM CR/V UDUKE,PLO,UND,3.00,3,0.00,33.20,ACTIVE,PDF Cotizacion
MM-PLO-000012,HTY0009,LLAVE COMBINADA 14MM CR/V UDUKE,PLO,UND,3.00,3,0.00,40.15,ACTIVE,PDF Cotizacion
MM-PLO-000013,HTY0010,LLAVE COMBINADA 15MM CR/V UDUKE,PLO,UND,3.00,3,0.00,42.90,ACTIVE,PDF Cotizacion
MM-PLO-000014,HTY0012,LLAVE COMBINADA 17MM HTY0012 UDUKE,PLO,UND,3.00,3,0.00,46.65,ACTIVE,PDF Cotizacion
MM-PLO-000015,YOV618,LLAVE COMBINADA 18MM FYY,PLO,UND,2.00,3,0.00,55.50,ACTIVE,PDF Cotizacion
MM-PLO-000016,HTY0014,LLAVE COMBINADA 19MM CR/V UDUKE,PLO,UND,2.00,3,0.00,62.25,ACTIVE,PDF Cotizacion
MM-PLO-000017,HTY0016,LLAVE COMBINADA 22MM CR/V UDUKE,PLO,UND,2.00,3,0.00,97.00,ACTIVE,PDF Cotizacion
MM-PLO-000018,HTY0017,LLAVE COMBINADA 23MM HTY0017 UDUKE,PLO,UND,2.00,3,0.00,110.25,ACTIVE,PDF Cotizacion
MM-PLO-000019,HT80328,LLAVE COPA EN T 11MM HT80328 UDUKE,PLO,UND,2.00,3,0.00,38.65,ACTIVE,PDF Cotizacion
MM-PLO-000020,HT80329,LLAVE COPA EN T 12MM HT80329 UDUKE,PLO,UND,2.00,3,0.00,38.65,ACTIVE,PDF Cotizacion
MM-PLO-000021,HT80330,LLAVE COPA EN T 13MM HT80330 UDUKE,PLO,UND,2.00,3,0.00,38.65,ACTIVE,PDF Cotizacion
MM-PLO-000022,HT80323,LLAVE COPA EN Y CORTA 14-17-19MM HT80323 UDUKE,PLO,UND,2.00,3,0.00,45.50,ACTIVE,PDF Cotizacion
MM-PLO-000023,HT80317,LLAVE COPA EN Y CORTA 8-10-12MM HT80317 UDUKE,PLO,UND,2.00,3,0.00,47.90,ACTIVE,PDF Cotizacion
MM-PLO-000024,YFP006,"LLAVE CRECE 6"" AMAR UYUSTOOLS",PLO,UND,3.00,3,0.00,106.19,ACTIVE,PDF Cotizacion
MM-GEN-000045,LLAVE,"CRECE 8"" 200MM HADW131082 INGCO",GEN,UND,3.00,3,0.00,148.00,ACTIVE,PDF Cotizacion
MM-GEN-000046,LLAVE,"CRECE 10"" 250MM HADW131102 INGCO",GEN,UND,3.00,3,0.00,212.95,ACTIVE,PDF Cotizacion
MM-GEN-000047,LLAVE,"DE ANGULO RECTA 1/2""X3/8"" NPT",GEN,UND,10.00,3,0.00,108.00,ACTIVE,PDF Cotizacion
MM-PLO-000025,HT1230,LLAVE DE BOLA CROMADA DE 1/2 UDUKE,PLO,UND,3.00,3,0.00,72.29,ACTIVE,PDF Cotizacion
MM-PLO-000026,HT1514,LLAVE DE CHORRO PARA JARDIN CROMADA UDUKE,PLO,UND,4.00,3,0.00,115.00,ACTIVE,PDF Cotizacion
MM-PLO-000027,XPV102,LLAVE CHORRO DE BLANCA PVC 1/2 FYY,PLO,UND,1.00,3,0.00,28.00,ACTIVE,PDF Cotizacion
MM-PLO-000028,P-11696,LLAVE DE DUCHA INDIVIDUAL 1/2 BRONCE C/ACRILICA,PLO,UND,3.00,3,0.00,377.92,ACTIVE,PDF Cotizacion
MM-PLO-000029,P-11695,NEGRA P-11696 AQUA BLUE LLAVE DE DUCHA INDIVIDUAL 1/2 DE BRONCE,PLO,UND,3.00,3,0.00,377.92,ACTIVE,PDF Cotizacion
MM-PLO-000030,HT1201,LLAVE DE LAVAMANOS INDIVIDUAL UDUKE,PLO,UND,3.00,3,0.00,143.07,ACTIVE,PDF Cotizacion
MM-PLO-000031,P-10027,"LLAVE DE PASE 1/2"" DE BRONCE P-10027 AQUA BLUE",PLO,UND,3.00,3,0.00,159.32,ACTIVE,PDF Cotizacion
MM-PLO-000032,HT1229,No 16899 LLAVE DE PASE PARA DUCHA DE CRUCETA 1/2 HT1229,PLO,UND,3.00,3,0.00,250.25,ACTIVE,PDF Cotizacion
MM-GEN-000048,LLAVE,"DOBLE DE ANGULO 1/2"" X 3/8"" X3/8"" PESADA",GEN,UND,6.00,3,0.00,114.00,ACTIVE,PDF Cotizacion
MM-PLO-000033,LLAVE,DOBLE PARA PANTRY WZD1523 WADFOW ISSA,PLO,UND,2.00,3,0.00,485.00,ACTIVE,PDF Cotizacion
MM-PLO-000034,HT20125,"LLAVE PASE LISO PVC 1/2"" UDUKE",PLO,UND,12.00,3,0.00,20.00,ACTIVE,PDF Cotizacion
MM-PLO-000035,P-11647,LLAVE PARA PANTRY FLEXIBLE SENCILLA,PLO,UND,2.00,3,0.00,615.07,ACTIVE,PDF Cotizacion
MM-GEN-000049,MACHETE,"26"" WNU0126 WADFOW ISSA",GEN,UND,2.00,3,0.00,148.94,ACTIVE,PDF Cotizacion
MM-GEN-000050,MACHETE,"24"" WNU0124 WADFOW ISSA",GEN,UND,2.00,3,0.00,148.94,ACTIVE,PDF Cotizacion
MM-GEN-000051,MACHETE,"20"" WNU0120 WADFOW ISSA",GEN,UND,2.00,3,0.00,128.68,ACTIVE,PDF Cotizacion
MM-GEN-000052,MACHETE,"16"" WNU0116 WADFOW ISSA",GEN,UND,2.00,3,0.00,124.70,ACTIVE,PDF Cotizacion
MM-GEN-000053,PALA,CUADRADA MANGO LARGO FEDERALLI,GEN,UND,2.00,3,0.00,295.00,ACTIVE,PDF Cotizacion
MM-GEN-000054,PALA,CUADRADA MANGO CORTO FEDERALLI,GEN,UND,2.00,3,0.00,245.00,ACTIVE,PDF Cotizacion
MM-HER-000042,PROV-0184,W519S FDS- PALA REDONDA DE MANGO LARGO DE MADERA,HER,UND,2.00,3,0.00,275.00,ACTIVE,PDF Cotizacion
MM-HER-000043,PROV-0185,W518R-L FEDERALLI FDS- PALA REDONDA DE MANGO CORTO PLASTICO,HER,UND,2.00,3,0.00,245.00,ACTIVE,PDF Cotizacion
MM-PIN-000015,HT80118,"MANERAL CON FELPA EPOXICA 9"" UDUKE",PIN,UND,6.00,3,0.00,65.00,ACTIVE,PDF Cotizacion
MM-GEN-000055,10512,"MANERAL SEMI-PROFESIONAL DE 4"" LIKA",GEN,UND,3.00,3,0.00,35.00,ACTIVE,PDF Cotizacion
MM-PLO-000036,MGR308,MANGUERA DE GAS REFORZADA TRANSPARENTE,PLO,UND,1.00,3,0.00,745.45,ACTIVE,PDF Cotizacion
MM-PLO-000037,MG1225,MANGUERA PARA JARDIN 1/2X2MMX25FT FYY,PLO,UND,1.00,3,0.00,283.50,ACTIVE,PDF Cotizacion
MM-GEN-000056,MCN008,MARCO SIERRA 8-12 UYUSTOOLS,GEN,UND,2.00,3,0.00,132.60,ACTIVE,PDF Cotizacion
